model,question,answer
gpt-oss:120b-cloud,Вычисли интеграл ∫ x^2 * e^x dx. Покажи пошаговое решение.,
gpt-oss:120b-cloud,Найди производную функции sin(x^2). Объясни ход решения.,
gpt-oss:120b-cloud,"Докажи, что 0.999... = 1. Дай строгое математическое объяснение.",
gpt-oss:120b-cloud,Сформулируй теорему Пифагора и приведи пример.,
gpt-oss:120b-cloud,Реши квадратное уравнение x^2 - 5x + 6 = 0 и объясни решение.,
llama3,Вычисли интеграл ∫ x^2 * e^x dx. Покажи пошаговое решение.,
llama3,Найди производную функции sin(x^2). Объясни ход решения.,
llama3,"Докажи, что 0.999... = 1. Дай строгое математическое объяснение.",
llama3,Сформулируй теорему Пифагора и приведи пример.,
llama3,Реши квадратное уравнение x^2 - 5x + 6 = 0 и объясни решение.,
mathstral,Вычисли интеграл ∫ x^2 * e^x dx. Покажи пошаговое решение.,
mathstral,Найди производную функции sin(x^2). Объясни ход решения.,
mathstral,"Докажи, что 0.999... = 1. Дай строгое математическое объяснение.",
mathstral,Сформулируй теорему Пифагора и приведи пример.,
mathstral,Реши квадратное уравнение x^2 - 5x + 6 = 0 и объясни решение.,
